date,el empleo,colombia flights,desempleo,industria,comercio,paro,inflacion,tasa de cambio,dolar ,credito,precios,compra,tasa de interes,riesgo politico,petroleo,elecciones,manifestaciones
2004-01-01,42,0,26,69,68,2,48,34,7,42,54,94,42,100,52,1,18
2004-02-01,26,11,41,80,88,2,67,77,6,42,44,77,100,55,53,1,27
2004-03-01,21,0,59,100,84,2,62,70,6,40,55,74,52,19,92,3,22
2004-04-01,25,9,60,92,81,2,58,82,3,33,52,80,53,0,97,1,28
2004-05-01,34,9,57,93,100,3,63,90,4,49,46,90,84,0,100,1,26
2004-06-01,30,0,47,75,78,3,34,79,4,45,48,83,53,17,84,1,35
2004-07-01,25,20,41,80,69,2,36,47,3,39,41,63,64,0,85,1,9
2004-08-01,32,13,56,75,96,1,75,80,4,37,46,72,60,0,96,1,25
2004-09-01,26,0,60,78,88,5,68,75,4,62,44,90,60,0,95,1,34
2004-10-01,28,13,67,90,93,4,68,93,4,55,53,77,50,19,85,2,10
2004-11-01,31,0,45,85,81,2,56,48,5,58,48,81,75,25,68,6,13
2004-12-01,32,12,5,49,47,1,24,53,5,56,45,69,18,0,36,1,9
2005-01-01,59,15,20,59,63,1,36,52,4,65,45,81,40,0,27,1,19
2005-02-01,52,13,38,81,92,1,70,75,4,53,46,66,57,10,79,1,32
2005-03-01,46,22,44,94,84,1,78,95,4,48,41,78,53,0,87,1,32
2005-04-01,40,0,51,82,77,5,62,100,4,50,48,86,67,0,82,1,32
2005-05-01,40,8,53,76,71,1,58,87,3,58,45,75,52,0,87,1,28
2005-06-01,46,0,34,61,71,0,47,65,3,61,41,84,47,0,59,1,6
2005-07-01,50,12,20,56,55,3,29,64,4,60,37,91,42,0,53,0,25
2005-08-01,45,7,37,62,73,2,61,75,4,50,43,76,51,0,87,1,13
2005-09-01,43,14,39,76,69,1,64,91,5,56,46,84,57,0,74,1,35
2005-10-01,39,9,37,77,68,4,55,68,4,53,43,72,88,0,76,1,41
2005-11-01,32,7,34,67,64,3,43,67,4,52,43,70,69,9,65,2,20
2005-12-01,36,6,12,32,40,1,20,57,4,50,40,79,32,15,29,2,11
2006-01-01,84,10,20,50,50,1,39,59,3,67,44,91,21,10,36,4,0
2006-02-01,51,0,25,67,66,2,54,61,3,60,41,76,61,0,47,7,36
2006-03-01,46,8,36,71,71,2,100,70,4,64,42,78,77,0,65,21,23
2006-04-01,43,0,32,62,56,1,80,63,4,63,40,67,63,0,63,5,31
2006-05-01,43,14,34,63,57,17,71,71,4,67,43,82,62,8,73,13,25
2006-06-01,50,16,21,46,49,3,30,52,5,62,39,70,44,0,53,5,19
2006-07-01,56,12,10,45,47,1,24,60,5,69,39,81,37,0,44,1,17
2006-08-01,49,20,24,53,54,2,42,62,4,64,39,73,62,0,63,1,21
2006-09-01,54,19,30,58,51,1,41,71,4,62,38,72,62,0,56,1,21
2006-10-01,52,12,27,57,49,1,41,70,4,57,39,84,54,0,66,1,20
2006-11-01,50,17,27,46,43,2,35,65,4,58,38,73,57,7,50,3,11
2006-12-01,41,16,5,27,27,1,13,62,5,66,35,64,22,0,16,2,7
2007-01-01,82,15,9,39,39,1,33,60,5,76,41,79,50,0,26,1,7
2007-02-01,62,15,18,48,48,1,42,70,5,64,37,72,57,0,39,1,28
2007-03-01,57,8,24,50,54,3,46,78,5,57,33,68,49,3,38,2,20
2007-04-01,62,7,26,50,44,2,44,68,5,63,37,68,65,0,44,2,18
2007-05-01,53,11,32,46,40,11,49,67,8,66,37,70,53,0,58,2,26
2007-06-01,57,0,16,35,32,5,28,74,8,70,35,62,45,5,39,1,17
2007-07-01,63,10,12,38,32,3,23,54,6,69,30,67,39,3,38,2,6
2007-08-01,60,12,21,46,43,2,38,67,6,66,30,78,55,0,55,3,20
2007-09-01,54,7,24,45,37,1,40,57,6,59,33,71,54,0,48,4,18
