date,el empleo,colombia flights,desempleo,industria,comercio,paro,inflacion,tasa de cambio,dolar ,credito,precios,compra,tasa de interes,riesgo politico,petroleo,elecciones,manifestaciones,inversion,crisis economica,clima,lluvias,derrumbes,prima de riesgo,incertidumbre,fenomeno del niño,construcción,carbon,café,hoteles,restaurantes,turismo,vuelos,cine,apuestas,apuestas en línea,arriendo,poliza,eps,concierto,carnes,corabastos,cultivos,gasolina,diesel,fenomeno de la niña
1/1/2004,40,0,25,65,66,2,53,58,4,39,49,97,40,100,50,1,17,31,18,3,32,0,0,0,0,75,40,17,79,47,96,4,46,11,0,14,0,7,30,93,56,33,20,43,0
2/1/2004,25,0,41,77,88,2,68,100,6,41,44,76,97,0,53,1,26,69,0,5,0,0,55,100,0,68,42,21,62,42,88,1,29,3,0,9,21,7,34,29,39,62,29,34,0
3/1/2004,22,0,61,100,87,0,58,50,6,40,56,76,43,53,95,2,23,88,66,6,53,97,0,56,0,71,84,20,55,35,87,2,36,8,0,6,33,7,40,26,0,88,20,61,100
4/1/2004,26,12,62,92,87,1,57,76,3,34,54,82,54,0,100,1,28,100,28,5,35,44,0,0,28,86,74,35,52,33,80,1,37,8,0,7,42,6,38,70,80,63,52,74,0
5/1/2004,33,0,57,90,100,2,67,82,4,47,46,88,82,0,99,1,25,92,73,5,34,38,47,25,13,93,68,30,60,34,81,1,38,7,0,7,36,4,24,100,18,100,40,54,0
6/1/2004,29,0,47,72,78,1,33,59,3,43,47,82,52,44,83,1,34,63,24,4,41,0,0,36,6,79,58,17,81,37,100,7,39,6,0,6,0,6,24,82,16,67,44,46,0
7/1/2004,26,0,43,81,72,1,36,46,3,39,42,65,65,0,87,1,9,50,32,6,31,0,0,24,22,56,59,42,70,30,83,10,41,8,0,13,19,6,50,98,0,69,45,71,0
8/1/2004,32,20,56,73,97,3,75,67,4,36,46,71,59,0,96,1,24,50,81,6,48,0,0,0,16,85,62,30,59,28,76,5,36,4,0,8,35,6,53,71,22,71,33,68,0
9/1/2004,26,0,60,76,89,5,67,55,4,60,44,89,59,0,95,1,34,63,34,5,23,0,0,51,0,65,78,33,51,45,78,4,34,4,0,9,65,6,50,64,29,68,33,77,0
10/1/2004,27,12,64,84,91,4,70,86,4,51,51,74,52,50,82,2,30,85,17,5,33,71,0,55,5,100,75,40,60,34,84,4,36,5,0,9,27,5,51,72,31,70,47,70,0
11/1/2004,31,0,45,83,81,3,57,74,5,56,48,80,59,66,68,6,23,83,53,5,63,58,83,41,0,79,71,15,73,37,91,3,36,6,0,9,0,7,44,59,35,62,47,67,0
12/1/2004,32,0,5,48,48,1,22,63,4,55,45,69,18,0,36,1,9,60,0,3,0,0,0,0,16,70,48,20,90,48,89,8,39,7,0,9,41,4,37,65,0,52,50,100,0
1/1/2005,58,9,14,57,63,2,42,52,4,62,44,79,38,0,27,1,18,46,0,4,0,0,0,0,0,67,53,17,93,42,97,9,34,4,0,24,0,9,29,41,27,31,36,72,0
2/1/2005,53,11,37,81,95,1,67,76,4,52,47,66,41,28,81,1,38,62,30,5,34,0,0,76,11,66,58,24,61,34,75,6,28,5,0,12,20,7,31,66,0,60,31,55,0
